제목 형태소,본문 형태소
"['그렇게', '허니', '제이', '가', '압승', '이었음']","['난', '그래도', '노제', '가', '제일', '딱', '딱', '맞는', '것', '같아서', '좋았는데', '네이버', '댓글', '보고', '당황', '노제', '댓글', '엔', '대부분', '비추에다', '허니', '제이', '얘기', '밖에', '없더라', '참고', '로', '나', '오늘', '처음', '봄']"
"['아이돌', '들', '팬덤', '연령', '대', '근황']","['방탄소년단', '세븐', '틴', '엑소', '샤이니', '김우석', '강', '다니엘', '투바', '투', '스키', '즈', '더보이즈', '블랙', '핑크', '마마', '무', '트와이스', '레드', '벨벳', '에스', '파', '오', '마이걸', '위', '클리', '이', '달', '의', '소녀', '프로', '미스', '나인']"
"['스', '우파', '제작', '진', '태용', '반응', '구린거', '아', '나', '봐']","['아예', '통편집', '하고', '예고', '장면', '도', '안', '나옴', '곧', '하차', '할듯']"
"['윈터', '논란', '이', '에', '바인', '이유']","['햄스터', '안', '키워', '본', '애', '들', '이', '마리', '래서', '놀라서', '오', '바', '떠는거', '같아서', '진심', '내', '가', '다', '어이없음', '햄스터', '는', '애초', '에', '발정기', '도', '일정', '도', '간격', '에', '임신', '기간', '이', '한', '달도', '안되고', '자궁', '이', '개였나', '그래서', '한번', '임신', '에', '열', '몇', '마리', '까지', '낳을', '수', '있음', '나도', '초딩', '때', '내', '친구', '도', '자기', '햄스터', '가', '마린', '가', '낳았다', '그래서', '주작', '인가', '싶었는데', '이라서', '충격', '먹었었음', '암튼', '그래서', '수가', '차고', '넘치니까', '대형', '마트', '펫샵', '에서', '겨우', '몇', '천', '원', '정도', '로', '팔리는거고', '버블', '에서', '갓', '태어난', '새끼', '언급', '하는거', '보면', '갑작스런', '교배', '로', '엄청나게', '많아진거', '같음', '햄스터', '모르는', '애', '들', '이', '보면', '막', '몇', '대', '에', '걸친', '교배', '로', '마리', '가', '될', '때', '가지', '오랜', '기간', '우글우글', '한', '케이', '지에서', '살았다', '정도', '로', '이해', '하고있는거', '같은데', '그', '정도', '아님', '그리고', '애초', '에', '진짜', '방치', '했으면', '어미', '가', '새끼', '잡아먹음', '이건', '관리', '해줘도', '그런', '경우', '있긴', '함', '태어난', '새끼', '들', '은', '거의', '분양', '보냈을듯', '어떻게', '마리', '를', '동시', '에', '키우냐', '만약', '이면', '좀', '머쓱할듯', '근데', '그럴', '리가', '없자', '너', '그런', '짓', '하기도', '전', '에', '부모님', '한테', '등짝', '맞겠지', '걍', '새끼', '가', '엄청', '태어나서', '잠깐', '마리', '까지', '됐었다를', '햄', '대장', '얘기', '하', '려고', '마리', '를', '키웠다라고', '과장한듯', '근데', '그', '전', '에', '같이', '불거진', '고양이', '나', '도마뱀', '논란', '도', '있고', '햄스터', '교배', '빨리', '하는거', '등', '좀', '동물', '키우기', '전', '에', '많이', '공부', '하고', '배려', '해야', '될거', '같긴', '함', '암튼', '결론', '은', '햄스터', '이', '정도', '로', '까', '일', '일', '아니니까', '이', '때', '싶', '억', '까', '같은거', '하지', '좀말자']"
"['비투비', '는', '이미지', '좋은', '갑다']","['톡선', '장악', '해도', '탄압', '없네']"
"['비투비', '에']","['뚝딱', '이', '는', '없어', '보인다', '다', '들', '평타', '는', '치는거', '같음']"
"['소통', '왕', '으로', '불리는', '남돌', '근황']","['일단', '주', '어는', '펜타곤', '의', '신', '원', '그', '가', '팬', '들', '사이', '에서', '소통', '왕', '이라고', '불리는', '이유', '유', '큐브', '에서', '심심할', '때팬', '들', '하고', '밸런스', '게임', '하기', '궁금한게', '생기', '면', '지식인', '으로', '활용', '약', '한', '시간', '정도', '팬', '들', '하고', '회의', '하다가', '최종', '결정', '잠', '안', '오면', '질척', '거리', '기', '브이', '앱', '예고', '하기', '하루', '일과', '브리핑', '하기', '자랑', '하고', '싶은거', '자랑', '하기', '등등', '이', '친구', '라이브', '기능', '있었으면', '그냥', '하루', '종일', '틀어놨을', '듯', '그런', '그', '가데', '키라', '고정', '게스트', '로', '멤버', '키노', '랑', '같이', '출연', '중', '인데', '이번', '에', '라디오', '에', '처음', '도전', '하게', '됨', '이제', '더', '마음껏', '소통', '할', '수', '있음', '이', '친구', '이런거', '보면', '진짜', '팬', '들', '이랑', '찐', '친', '먹은거', '같아서', '부러워', '짐']"
"['더러운', '남친', '이랑', '결혼', '하기', '싫어요']","['인스타', '나', '페이스북', '으로', '퍼가', '지', '마세요', '추가', '로', '쓴말이나', '조언', '해주', '신분', '들', '다', '감사해요', '자작', '아니에요', '남혐', '아니에요', '제', '가', '나중', '에', '집', '에', '들어가면', '사진', '찍어서', '올릴까', '요', '그리고', '변명', '을', '조금', '하자면나이', '차이나는', '연애', '하면서', '이런', '대접', '받는다고', '부모님', '께', '말', '을', '못', '하겠더라고요', '부모님', '이', '처음', '에', '많이', '반대', '하셨는데', '자식', '이기는', '부모님', '없다잖아요', '남친', '이', '처음', '부터', '이런', '건', '아니에요', '동거', '전', '에는', '남친', '차도', '항상', '깨끗했고', '남친', '집도', '깨끗했어요', '이전', '에는', '남친', '도', '부모님', '하고', '살아서', '남친', '어머님', '이', '청소', '를', '해', '주신', '것', '같아요', '많이', '자상했어요', '제', '가', '학교', '에', '늦게까지', '있으면', '꽃', '사와서', '차로', '본가', '까지', '데려다가', '주고', '선물', '이나', '기념일', '도', '잘', '챙겨서', '나이', '차이나도', '이', '사람', '이', '면', '괜찮겠구나', '싶었어요', '그리고', '남친', '누나', '도', '계시는데', '누나', '가', '남친', '을', '별로', '안', '좋아해요', '답글', '에도', '썼지만', '그냥', '연애', '만', '하자', '고', '말', '하려는', '것', '은', '안전', '이별', '을', '하기', '위', '해서에요', '작년', '에', '제', '가', '헤어지자', '고', '했는데', '본가', '와', '학교', '앞', '으로', '찾아와서', '며칠', '을', '울', '고', '빌어', '서', '다시', '받아', '줬어요', '부모님', '도', '곧', '이사', '하시고', '저', '도', '졸업', '까지', '버티거나', '아님', '쫓아내거나', '둘', '중', '하나', '를', '해야겠죠', '제', '친구', '들', '하고도', '의논', '해봤는데', '반', '은', '헤어져라', '반', '은', '남자', '다', '그러니까', '그냥', '참고', '살으라고', '해서', '결정', '이', '안', '났던', '것', '같아요', '어제', '엄마', '랑', '통화', '했는데', '엄마', '가', '굳이', '결혼', '안해', '도', '된다고', '결혼', '한다고', '다', '행복한거', '아니라고', '해서', '마음', '다', '잡고', '자취', '할', '방', '찾고', '있어요', '본문', '현재', '남자친구', '랑', '결혼', '전제', '로', '동거', '한지', '개월', '되었어요', '남친', '이랑', '저', '는', '띠', '동갑', '이고', '제', '가', '더', '어려요', '원래', '는', '대학원', '졸업', '까지', '혼자', '자취', '하려고', '했는데', '남자친구', '가', '내년', '에', '결혼', '하자고', '해서', '같이', '살', '게', '되었어요', '결혼', '날짜', '는', '내년', '여름', '쯤', '생각', '했는데같이', '살', '아보', '니', '잘', '모르겠어요', '이유', '를', '나열해', '보자면', '더러워요', '양말', '도', '항상', '침대', '뒤', '에', '소파', '아래', '서', '찾아서', '제', '가', '빨래', '통', '에', '넣고', '서재', '에', '쓰레기통', '이', '있는데도', '바닥', '엔', '더러운', '코푼', '휴지', '와', '코딱지', '가', '붙어', '있', '고개', '월', '동안', '청소기', '한', '번', '돌리는', '것', '을', '못', '봤어요', '화장실', '청소', '와', '부엌', '청소', '세탁기', '돌리기', '모든', '건', '제', '가', '해야', '해', '요', '그나마', '하는것은', '설거지', '인데', '깨끗하게', '안', '씻이고', '항상', '음식물', '이나', '기름', '때', '가', '남아있어서', '제', '가', '다시', '해야', '해', '요', '저', '는', '과외', '알바', '하면서', '대학원', '다녀서', '피곤하고', '시간', '없는데', '집', '에', '오면', '집안', '일', '부터', '해야', '해', '요', '남친', '은', '집', '에서', '재택근무', '해요', '남친', '이랑', '도우미', '아주머니', '부르', '자고', '합의', '봤는데', '저번', '주', '에는', '회의', '가', '많아서', '안된다', '이번', '주', '에는', '바쁘다', '뭐', '핑계', '는', '많아요', '집세', '반', '반', '내고', '전', '기세', '랑', '통신비', '는', '제', '가', '내', '요', '반찬', '도', '남친', '어머니', '가', '해주시', '는', '거', '는', '맛', '없다고', '제', '엄마', '가', '해주시', '는', '거', '주', '에', '한번', '씩', '받아', '먹고', '제', '엄마', '한테', '고맙다고', '인사', '한번', '안', '하네요', '어제', '또', '도우미', '아주머니', '다음주', '로', '미뤄서', '저', '도', '하나', '도', '안치우', '고', '짐', '싸서', '친구', '네', '집', '으로', '왔어요', '전세', '계약', '기간', '이', '개월', '남아', '서', '그냥', '짐', '싸서', '나가기도', '그렇고', '지금', '헤어지면', '꼬인', '일이', '많은데', '그냥', '내년', '에', '결혼', '하지', '말고', '연애', '만', '하자', '고', '미리', '못', '박을까요']"
"['전설', '이', '된', '패션', '고', '녀']",[]
"['부담스럽고', '내', '아이', '에', '간섭', '이', '심한', '시누이']","['요즘', '고민', '이', '생겼어요', '행복한', '고민', '일', '수도', '있는데', '스트레스', '를', '받아서', '요전', '이제', '돌', '지난', '딸', '엄마', '입니', '다다름이', '아니라', '시누이', '가', '너무', '제', '딸', '한테', '관심', '이', '많아서요', '선물', '도', '항상', '많이', '사주세요', '옷', '만', '개', '넘게', '사주셨고', '장난감', '에', '인형', '에', '책', '에', '먹는것도', '사주시고', '심지어', '이번', '돌', '에는', '만원', '주셨어요', '이', '것', '만', '보면', '좋은', '시누이', '가', '맞지만', '문제', '는', '선물', '주는만큼', '간섭', '해요', '자기', '가', '준', '옷', '들', '을', '입고', '사진', '이렇게', '이렇게', '찍어주라는', '거', '감사한', '마음', '으로', '사진', '을', '항상', '먼저', '보냈지만', '사진', '을', '추가', '로', '요구', '해요', '예', '를', '들면', '밖', '에서도', '찍어', '줬으면', '좋겠다', '다른', '인형', '과', '같이', '찍어주는것도', '요구', '하구요', '또', '아이', '보러', '자주', '저희', '집', '에', '오셔서', '육아', '해주고', '하루', '종일', '붙어있어요', '잠시', '나마', '육아', '해방', '으로', '좋', '기도', '하지만', '와서', '애기', '잘', '키우고', '있냐', '지금', '도', '많이', '우냐', '하루', '에', '똥', '은', '몇번', '싸냐', '이유식', '은', '잘', '먹냐', '책', '은', '많이', '읽어주냐', '등등', '미혼', '이신', '시누이', '가', '이렇게', '참견', '을', '많이', '하세요', '작은', '피부', '트러블', '하나', '라도', '생기', '면', '과도', '하게', '유난', '을', '떨구요', '그리고', '시누이', '프사', '나', '배사', '나', '아이', '사진', '만', '있구요', '이제', '돌', '인데', '프사', '번은', '바꿨을거에요', '또', '제', '가', '달전에', '둘째', '임신', '인걸', '알았는데', '둘째', '는', '아들', '기대한다고', '너무', '기대한다고', '꼭', '몸', '관리', '잘하라고', '하세여', '걱정', '을', '하는', '건지', '아니면', '저', '한테', '부담', '을', '주는', '건지', '모르겠어요', '관심', '이', '처음', '엔', '너무', '감사했지만', '이', '젠', '부담스럽네요', '조금', '거리', '를', '두고', '싶은데', '어떻게', '해야', '할까', '요판', '분들', '의', '현명한', '조언', '기다릴께요']"
