제목 형태소,본문 형태소
"['엔', '시티', '태', '용', '춤', '이', '우스꽝스러워', '보이', '는', '이유']","['팔다리', '기괴', '하', '게', '짧', '음', '소인', '댄스', '처럼', '저것', '도', '깔', 'ㄹ', '창', '십', '센티', '깐', '거', '이', 'ㅁ', '얼굴', '은', '또', '개', '크', '고', '파', '다고', '학', '댐스우파', '심사', '왜', '보', '냐', '맨', '오른쪽', '기', '괴', '나', 'ㅁ', '도', '태', '용', '노', '제', '리정', '허니', '제이']"
"['스우파', '코카', '앤', '버터', '제트', '썬', '생기', 'ㄴ', '거', '완전']","['코카', '앤', '버터', '제트', '썬', '생기', 'ㄴ', '거', '완전', '아빠', '어디', '가', '이조녁', '아들', '준수', '닮음', '웃', '을', '때', '존', '똑', '스우파', '보', 'ㄹ', '때', '마다', '계속', '준수', '생각나', '아서', '부랴부랴', '사진', '긁어모으', '아', '오', '았', '음', '글', '이', '고', '제트', '썬', '피부', '너무', '좋', '음', '완전', '찌', 'ㄴ', '달걀', '같', '어', '언니', '너무', '멋있', '고', '귀엽', '고', '사랑해']"
"['방탄', '이번', '에', '월', '크', 'ㄹ', '인', '거', '체감', '이', '되', 'ㄴ', '게']","['개인', '적', '으로', '콜드', '플레이', '랑', '이번', '에', '콜라', '보', '하', '는', '거', '이', 'ㅁ', '그것', '도', '크리스 마틴', '이', '이', '시국', '에', '굳이', '한국', '에', '오', '아서', '자', '가', '아', '격리', '까지', '주', '동안', '감당', '하', 'ㄴ', '것', '도', '뭐', '그래미', '본상', '에', '노미', '되', '었', '다', '올', '스타디움', '투어', '를', '다니', 'ㄴ', '다', '핫', '백', '위하', '았', '다', '미국', '시상식', '에서', '본상', '수상', '하', '았', '다', '체감', '되', 'ㄴ', '건', '많', '았', '는데', '너무', '스케일', '이', '커서', '실감', '이', '안', '나', '았', '는지', '그냥', '아', '그렇', '구나', '이', '정도', '의', '감상', '이', '었', '는데', '콜드', '플레이', '측', '에서', '먼저', '방탄', '한', '테', '콜', '라보', '요청', '하', '았', '다는', '거', '보', '고', '얘', '네', '가', '이', '정도', '이', '었', '구나', '싶', '더라', '사실', '콜드플레이', '자체', '도', '그래미', '수상자', '에', '스타디움', '투어', '도', '하', '았', '고', '음악', '커리', '어도', '대박', '이', 'ㄴ', '한마디', '로', '이미', '레전드', '밴드', '이', 'ㄴ데', '이번', '에', '협업', '한', '거', '보', '고', '이', '미', '내', '가', '상상', '하', 'ㄴ', '이상', '으로', '쟤', '네', '입지', '는', '커지', 'ㄴ', '거란', '걸', 'ㄹ', '알', '게', '되', 'ㄴ', '거', '같', '음']"
"['공항', '커플룩', '이렇', '어']","['아', '진짜', '개기여워', '소년단', '허', 'ㄹ', '톡', '서', 'ㄴ', '가', '았', '네', '방탄', '오늘', '미국', '뉴욕', '으로', '유엔', '연설', '하', '러', '가', '는데', '호', '비', '랑', '진', '이', '공항', '패션', '으로', '커플룩', '입', '었', '다고', '올리', 'ㄴ', '사진', '이야', '얼마', '전', '에', '대통령', '특별', '사절단', '으로', '임명', '되', '고', '외교관', '여권', '받', '았', '을', '때', '이건', '년', '에', '유엔', '연설', '하', '러', '가', '아서', '찍', '은', '사진']"
"['방탄', '출국', '하', '았', '다']","['잘', '가', '다와', '애기', '들', '라']"
"['살', '빼기', '전후']","['내', '가', '이런', '글', '을', '쓰', '게', '되', '는', '날', '이', '오', '다니', '살', 'ㄹ', '키', '로', '감량', '전', '후', '사진', '이', '야', '나', 'ㄴ', '차이', '없', '다고', '생각', '하', '았', '는데', '사진', '보', '니까', '좀', '차이', '가', '있', '네', '지금', '도', '진행', '중', '이', '고', '관리', '중', '이', '야', '내', '가', '살', '면서', '다이어트', '를', '성공', '하', '다니', '머', '엉', '근데', '성공', '하', 'ㄴ', '기분', '도', '아니', '다', '내', '가', '생각', '하', '기', '에', 'ㄴ', '별로', '많이', '안', '빼', 'ㄴ', '것', '같', '고', '티', '도', '안', '나', '는', '것', '같', '아', '다이어트', '방법', '은', '건강', '식', '으로', '일', '식', '톡', '서', 'ㄴ', '뭐', '야', '쩌', 'ㄴ', '다', '고마', '어']"
"['선진국', '의', '휠체어', '그네']","['유럽', '전역', '에', '는', '이미', '저런', '시설', '들', '이', '많', '대', '요', '주로', '어리', 'ㄴ', '나이', '의', '장애인', '들', '을', '위하', 'ㄴ', '걸', '라네', '요']"
"['스우파', '리수', '학', '폭']","['학', '폭', '아니', '라는', '데', '리수', '웨이', '비', '스우파', '학', '폭']"
"['오', '이', '패션', '신', '박', '한', '데']","['마스크', '위', '에', '천', '마스크']"
"['의외로', '인', '것']",[]
