제목 형태소	본문 형태소
['서수진', '서신애', '팩트', '정리']	['서신', '에는', '학창시절', '수진', '과', '대화', '를', '나눠', '본적', '이', '한번', '도', '없다', '서신애', '도', '그건', '인정', '했다', '교실', '자체', '가', '멀찌감치', '떨어져있었고', '아예', '건물', '다른', '층', '이다', '그럼', '서수진', '이', '서신애', '보고', '뭐라고', '시비', '걸거나', '나쁜', '짓', '을', '직접', '했는가', '그런', '기억', '도', '서신애', '한테', '없다', '그냥', '자기', '를', '조롱', '하', '번', '무리', '들', '속', '에', '서수진', '도', '있었을', '것', '이라는', '게', '서신애', '생각', '이다', '그리고', '서신애', '는', '더', '이상', '이', '시', '건', '에', '관여', '하고', '싶지', '않다는', '입장', '을', '밝혔다', '미연', '민니', '소연', '우기', '슈화', '아이', '들', '서수진', '서신애']
['있지', '예지', '염색', '신기한', '데', '예뻐']	['앞머리', '반', '만', '염색', '했지만', '하이', '포니테일', '하니까', '뭔가', '반', '반', '머리', '처럼', '보임', '예지', '의', '미모', '는', '참', '기', '가', '막혀']
['에스', '파', '카리나', '상위', '호환', '같은', '아이돌']	['슈가', '박수진']
['수진', '퇴', '출', '아니래']	['아직', '경찰', '수사', '중', '이고', '수진', '이', '일이', '길어지면서', '피해', '끼칠까봐', '탈퇴', '결정', '한', '가래']
['단어', '외우다가', '판녀', '봄']	['이런', '식', '으로', '판', '밍아웃', '을', '하냐', '반칙', '이다']
['히틀러', '가', '대중', '들', '을', '다루던', '방법']	[]
['니', '들', '이', '태용', '얼굴', '깐다고']	['태', '용이', '못', '생겨', '질거', '같음', '니', '들', '이', '평생', '이태용', '까면서', '발작', '해도', '이태용', '은', '그냥', '졸라', '잘생긴', '임', '오늘', '사진', '한장', '으로', '성희롱', '얼평', '하면서', '별', '을', '다', '떨던데', '부모님', '이', '보시', '면', '뭐라하시겠니', '열폭', '좀', '적당히', '하자']
['아이즈', '원', '멤버', '들', '근황']	['권', '은비', '팔로', '우미', '최근', '에', '솔로', '데뷔', '앨범', '마무리', '사쿠라', '김', '채원', '과', '함께', '하이브로', '이적', '일본', '화장품', '브랜드', '모델강', '혜원', '일진', '에게', '찍혔을', '때', '웹', '드라마', '캐스팅', '개인', '유튜브', '활동', '우리', '식구', '됐어요', '예능', '촬영', '최예나', '예나', '는', '동물', '탐정', '예능', '솔로', '앨범', '준비', '중', '이채연', '스트릿', '우먼', '파이터', '크루', '윈트', '로', '출연', '겟잇뷰티', '박스', '김', '채원', '사쿠라', '와', '함께', '하이브로', '이적', '김민주', '음악중심', '구', '해줘', '숙소', '예능', '나코', '그룹', '으로', '활동', '중', '일본', '공중파', '예능', '방송', '에', '단독', '으로', '여러', '번', '출연', '의류', '브랜드', '키르', '시', '모델', '히토미', '그룹', '으로', '활동', '중', '이번', '최근', '신곡', '에', '선발', '멤버', '로', '뽑혀', '활동', '중', '나코', '와', '같이', '키르', '시', '모델', '조유리', '화장품', '브랜드', '컬러', '그램', '톡', '글로벌', '뮤즈', '이석훈', '과', '듀엣', '으로', '가을', '상자', '일', '발매', '예정', '안유진', '인기가요', '펩시', '광고', '장원영', '화장품', '브랜드', '이니스프리', '모델', '미우미우', '걸']
['나', '모르는', '동네', '에', '버려', '짐', '도와줘', '어', '떡', '해']	['엄마', '가', '만원', '찾아놓은', '거', '가방', '에', '넣어', '두', '라고', '해서', '식탁', '의자', '에', '있는', '엄마', '가', '맨날', '들고', '다니는', '가방', '에', '넣어', '뒀거든', '근데', '차', '타고', '시골', '가는', '길', '에', '엄마', '가', '어디', '다가', '놨냐', '고', '하길래', '엄마', '가', '맨날', '들고', '다니는', '가방', '이랬더니', '그걸', '거기', '다', '넣어', '두면', '어떡하냐고', '그', '큰', '가방', '을', '시골', '가는데', '들', '고갈', '거', '라고', '생각', '했냐고', '너', '는', '생각', '이', '있냐면서', '갓길', '에', '차', '새우고', '너', '는', '집', '에', '가라', '고', '당장', '내리라고', '소리', '질러서', '걍', '어쩔', '수', '없이', '내림', '돈', '도', '없고', '핸드폰', '배터리', '도', '없어', '여기', '어딘지', '도', '모르겠음', '어떡해']
['남편', '이', '저', '보고', '식', '탐', '있다는', '데', '제', '가', '식', '탐인지', '봐주세요']	['거두', '절미', '하고', '제목', '처럼', '제', '가', '그렇', '대요', '이유', '는', '요', '저', '는', '일단', '하루', '에', '한', '끼', '를', '먹어요', '그것', '많이', '이유', '는', '아이', '를', '둘', '낳았는데', '먹', '덧', '이라', '살이', '좀', '많이', '쪘었어요', '아이', '낳기', '전', '에는', '누가', '봐도', '마른', '사람', '이었는데', '어느', '날', '다른', '사람', '이', '제', '사진', '찍어', '준걸', '보내줘서', '봤는데내가', '알던', '내', '가', '아니더라구요', '그래서', '운동', '다시', '시작', '하고', '아이', '낳기', '전보', '다', '더', '보기', '좋은', '몸', '으로', '됐어요', '이렇게', '되기까지', '하루', '한', '끼', '무조건', '먹고', '싶은거로', '많이', '먹어야', '해소', '가', '되더라구요', '그리고', '또', '술', '을', '좋아해서', '애', '들', '자면', '꼭', '소주', '한잔', '씩', '하구자는', '데', '그래서', '인지', '다음', '날', '은', '무조건', '국물', '이', '예요', '신랑', '이', '식탐', '이', '많다고', '이야기', '하는게', '저', '는', '제', '가', '먹고', '싶은건', '꼭', '먹어', '야해요', '어쩔', '수', '없이', '못', '먹는', '상황', '이', '오면', '짜증', '이', '나', '요', '예', '를', '들면', '저', '는', '칼국수', '집', '을', '가고', '싶은데', '애', '들', '은', '칼국수', '집', '을', '간', '대', '요', '근데', '애', '들', '아빠', '는', '애', '들', '의견', '따라서', '칼국수', '가', '맛', '이', '있으나', '애', '들', '은', '를', '원하니', '를', '가겠', '다정', '먹고', '싶으면', '우린', '에서', '먹을테니', '너', '는가', '서', '먹고와', '라합', '니', '다그', '럼', '저', '는', '마음', '편히', '제', '가', '먹고', '싶은거', '먹고오면', '되는데', '마음', '편히', '그게', '안되더라구요', '그래서', '짜증', '이', '나는데', '짜증', '이', '나는게', '식탐', '이래', '요', '저', '는', '제', '가', '먹고', '싶은', '만큼', '시키고', '남기지', '않아요', '예', '를', '들어서', '짬뽐곱배기', '를', '시키고', '밥', '말', '아', '먹을', '때', '여', '보도', '밥', '말', '아', '먹을꺼', '야물었는데', '않', '먹는다', '했다가', '나', '한', '숟가락', '만', '했어요', '여기', '까지는', '그냥', '그런대', '나', '는', '밥', '한', '공기', '에', '한', '숟가락', '을', '허용', '했는데', '반', '을', '퍼가', '면', '짜증', '이', '납니다', '이럴꺼면', '두', '공기', '시켜서', '너', '가', '반', '을', '남기더라도', '내', '가', '한', '공기', '반', '을', '다', '먹으면', '될', '일', '인데', '왜', '내', '먹을', '양', '을', '뺏어가냐', '이랬더니', '식탐', '이래', '요', '아니', '내', '가', '니', '밥', '을', '뺏어가길', '했냐', '니', '짬뽕', '국물', '을', '뺏어', '먹었냐', '나', '는', '그냥', '많이', '먹고', '싶은', '사람', '이', '다', '이랬더니', '먹는', '거', '때문', '에', '짜증', '이', '난', '다는', '것', '자체', '가', '식탐', '이래', '요하', '도', '식탐', '식탐', '하니까', '저', '도', '진짜', '제', '가', '식탐', '이', '면', '자제', '하려구요', '아', '그리고', '또', '저', '는', '식당', '에서', '밥', '먹을', '때', '도', '맛있는', '반찬', '이', '있으면', '메인', '도', '안', '먹고', '그', '반찬', '만', '가능하다면', '회정', '도', '리필', '을', '요구', '합니다', '그럴', '때', '신랑', '이', '적당히', '하라', '고', '경고', '같은걸', '날려요', '식탐', '부리', '지', '말라고이것도', '식탐', '인가요']
['난', '원래', '쌍', '커', '풀', '있는', '애', '들', '좋아했는데', '요즘', '은', '투바', '투', '연', '준', '방탄', '뷔', '같은', '무쌍', '에', '관심', '감']	['엥', '아니', '그냥', '하이브', '상', '좋아하는', '건가']
['그럼', '수진', '재', '합류']	['가능성', '있는', '건가', '안될', '라나', '걍', '아니라고', '결과', '뜨면', '재', '합류', '했으면', '좋겠다', '재능', '너무', '아까워', '그리고', '뭣', '보다', '수진', '무대', '하는', '거', '다시', '보고싶음']
